Code,P_m (bar),acquisition time (s),assemblage,state,heater voltage (V),T (C),T (K),T error,NaCl_111,NaCl_111_error,NaCl_200,NaCl_200_error,NaCl_220,NaCl_220_error,NaCl_222,NaCl_222_error,NaCl_420,NaCl_420_error,NaCl_422,NaCl_422_error,NaCl_Vm (1e-6 m^3 pfu),NaCl_Vm_error (1e-6 m^3 pfu),P_300 (GPa),P_300_error (GPa),P_tot (GPa),P_tot_error (GPa)
398843,0,1200,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398848,0,60,Hg + NaCl,liquid,0,21,294.15,1,2.81768,0.00123508,3.24993,0.00115455,4.60071,0.000430236,5.63486,0.000940094,7.27758,0.000611496,7.96871,0.00109107,26.11386452084701,0.010709178,0.9096186922187521,0.047276005356126236,,
398855,1,60,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398856,2,60,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398857,3,60,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398858,3.5,60,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398859,3.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.81801,0.00317542,3.25215,0.0014211,4.60288,0.000574628,5.63892,0.00172271,7.28061,0.00130272,7.97345,0.00196637,26.067395274961974,0.019254674,0.9522240448253062,0.096391372,,
398860,3.5,1200,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398861,3.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82047,0.00276987,3.25459,0.00149137,4.60371,0.000568418,5.63921,0.00178892,7.27974,0.00126712,7.97435,0.00182752,26.05858447283615,0.017886982,0.9786636806914277,0.088681224,,
398862,4,60,Hg + NaCl,liquid,0,21,294.15,1,2.82074,0.00294608,3.25199,0.00133691,4.60343,0.000572929,5.64078,0.00161969,7.2813,0.00122563,7.97537,0.00195649,26.048603702448705,0.019139495,0.9766779926826216,0.091011506,,
398863,4,1200,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398864,4,60,Hg + NaCl,liquid,0,21,294.15,1,2.81821,0.00400854,3.25049,0.00248964,4.60572,0.000921834,5.6374,0.0023407,7.28099,0.00145858,7.9762,0.00204932,26.04048586068742,0.020039271,0.9566897119033371,0.1272190144041562,,
398865,4.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.81548,0.00294914,3.2543,0.00260926,4.60598,0.00103526,5.63903,0.00218514,7.28278,0.0014175,7.97768,0.00233482,26.026019051079004,0.022814101,0.9706531591665735,0.10669650682665999,,
398866,5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82179,0.00523833,3.25229,0.00240684,4.60541,0.00099281,5.63855,0.00206908,7.28506,0.00176007,7.97969,0.00194558,26.006388734858344,0.018991601,0.9990467472593587,0.15642370773850767,,
398873,5.5,1200,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398867,5.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.81922,0.00523074,3.25177,0.00211915,4.60748,0.00101415,5.64074,0.00228974,7.28379,0.00163273,7.98088,0.00235662,25.994776120707563,0.022990219,0.9953011360071807,0.15350627678375978,,
398872,5.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.81608,0.0027688,3.25826,0.00216624,4.60669,0.000833925,5.64201,0.00210791,7.28561,0.00138869,7.98201,0.00195898,25.983755423144903,0.019100191,1.0144076438417597,0.097035605,,
398874,6,60,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398875,6,60,Hg + NaCl,liquid,0,21,294.15,1,2.8218,0.00343852,3.25925,0.00164868,4.6083,0.000929311,5.64616,0.00230781,7.28785,0.00143122,7.98516,0.00169569,25.95306691911699,0.016507033,1.0738464292734076,0.10860889114193621,,
398882,6,1200,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398883,6.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.8264,0.00320338,3.25839,0.00167085,4.60917,0.000660762,5.64573,0.00147701,7.29071,0.00105446,7.98332,0.00157362,25.970987021637807,0.01533284,1.0979991394142061,0.10108506504395093,,
398884,7,60,Hg + NaCl,liquid,0,21,294.15,1,2.81986,0.0022034,3.26045,0.00219883,4.6107,0.000625608,5.64596,0.00147473,7.29111,0.00112789,7.98328,0.00146234,25.97137677250481,0.01424885,1.0794456441452382,0.084085391,,
398885,7.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82424,0.00244329,3.25762,0.00188476,4.61173,0.000717169,5.64709,0.00144771,7.29177,0.00135067,7.98642,0.00174681,25.940805065478724,0.016993947,1.1026170207998138,0.086335707,,
398890,7.5,1200,Hg,liquid,0,21,294.15,1,,,,,,,,,,,,,,,,,,
398891,8,60,Hg + NaCl,liquid,0,21,294.15,1,2.82289,0.00213589,3.26109,0.00212933,4.61331,0.000719331,5.64741,0.00158637,7.29395,0.00125152,7.98965,0.00159534,25.90940720481202,0.015495289,1.12729714,0.083570649,,
398892,8.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82573,0.00318394,3.26112,0.00184797,4.61437,0.000749411,5.64834,0.00166003,7.29346,0.00118142,7.99028,0.00161124,25.90328907727057,0.01564479,1.1482439293351887,0.10321045640607814,,
398893,9,60,Hg + NaCl,liquid,0,21,294.15,1,2.82233,0.00201097,3.25521,0.00201728,4.61482,0.000690377,5.64916,0.00138921,7.29663,0.00114086,7.99019,0.00151386,25.90416297740337,0.014699914,1.113922415598098,0.077906224,,
398894,9.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82478,0.0021251,3.26203,0.00181959,4.61688,0.000704823,5.65395,0.0013024,7.29869,0.00121051,7.99257,0.00148516,25.881066408630335,0.014404068,1.184884255031463,0.078594503,,
398901,10,60,Hg + NaCl,liquid,0,21,294.15,1,2.82518,0.00198024,3.2624,0.00186993,4.61938,0.000710018,5.65613,0.00129391,7.30199,0.000975778,7.9987,0.00148691,25.82170464087147,0.014376901,1.2205575020433104,0.076242064,,
398895,10,60,Hg + NaCl,liquid,0,21,294.15,1,2.82229,0.00274762,3.26605,0.00171078,4.61717,0.000696603,5.65311,0.00150923,7.30095,0.00107919,7.99536,0.00179925,25.85402600868573,0.017425987,1.198769086286112,0.091072563,,
398902,10.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82485,0.00225668,3.26405,0.00159393,4.62025,0.000685994,5.6568,0.00136804,7.30511,0.00103851,7.99784,0.00166493,25.83002175046648,0.016105095,1.2357428913667343,0.079078276,,
398903,11,60,Hg + NaCl,liquid,0,21,294.15,1,2.81639,0.00253514,3.26463,0.00163281,4.62143,0.000677924,5.65886,0.00139206,7.30582,0.000974876,8.00008,0.00186553,25.80836605085775,0.018025333,1.2099222966561358,0.083761911,,
398904,11.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.82871,0.00209288,3.26463,0.00176627,4.62296,0.000689007,5.6584,0.00135956,7.30715,0.00113402,8.00081,0.00201586,25.80131384972887,0.019470763,1.2816325815115088,0.079580437,,
398905,12,60,Hg + NaCl,liquid,0,21,294.15,1,2.8279,0.00207468,3.26431,0.00169343,4.62263,0.000685083,5.65857,0.00144332,7.30706,0.00113256,8.00834,0.001624,25.72871981259498,0.015626982,1.289156473477548,0.077587175,,
398906,12.5,60,Hg + NaCl,liquid,0,21,294.15,1,2.83493,0.00262897,3.26916,0.00232591,4.62225,0.000650716,5.66114,0.00126674,7.30912,0.00101173,8.00665,0.00155799,25.744988744392657,0.015004455,1.3562003269563743,0.098794136,,
398943,13,60,Hg,solid,22,35.2,308.35,1,,,,,,,,,,,,,,,,,,
398944,13,60,Hg,solid,28,36.7,309.85,1,,,,,,,,,,,,,,,,,,
398945,13,60,Hg + NaCl,solid,28,36.8,309.95,1,2.83026,0.00241662,3.27173,0.00152877,4.62239,0.000491632,5.66556,0.0015895,7.3166,0.00124009,8.01447,0.00264191,25.66982387985748,0.025344191,1.3856173430657177,0.087011485,,
398946,13,60,Hg,solid,28,37.7,310.85,1,,,,,,,,,,,,,,,,,,
